id;name;image;image_content_type;created_date;last_modified_date;item_id
1;Mountains;../fake-data/blob/hipster.png;image/png;2021-06-06;2021-06-06;1
2;Infrastructure District;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-07;2
3;Massachusetts Iran;../fake-data/blob/hipster.png;image/png;2021-06-06;2021-06-06;3
4;Rufiyaa;../fake-data/blob/hipster.png;image/png;2021-06-06;2021-06-07;4
5;Angola Chips withdrawal;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-06;5
6;Technician Granite;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-07;6
7;Legacy green;../fake-data/blob/hipster.png;image/png;2021-06-06;2021-06-07;7
8;Islands;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-06;8
9;quantify deposit;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-06;9
10;Bacon Kids;../fake-data/blob/hipster.png;image/png;2021-06-07;2021-06-06;10
